Sexo;Vigencia;Edad;qx;Defunciones;Expuestos
M;1997;82;0,06430;58;902
M;2001;85;0,06424;45;701
M;2004;83;0,06362;64;1006
M;2003;84;0,06351;57;898
M;2002;84;0,06325;61;965
M;1998;83;0,06239;53;850
M;1998;80;0,06207;77;1241
M;1999;84;0,06121;49;801
M;1999;99;0,06061;2;33
M;2006;83;0,05950;75;1261
M;2000;81;0,05920;64;1081
M;2001;82;0,05888;60;1019
M;2005;81;0,05871;90;1533
M;1997;79;0,05810;76;1308
M;2001;80;0,05739;67;1168
M;1998;81;0,05714;63;1103
M;2003;83;0,05700;70;1228
M;2003;81;0,05663;82;1448
M;1999;81;0,05511;65;1180
M;2004;81;0,05417;76;1403
M;2003;80;0,05358;79;1475
M;1999;82;0,05344;56;1048
M;2007;83;0,05330;73;1370
M;2006;82;0,05312;77;1450
M;1997;80;0,05181;60;1158
M;2005;82;0,05178;69;1333
M;2006;81;0,05134;85;1656
M;2005;80;0,05046;88;1744
M;2003;79;0,04982;84;1686
M;2007;82;0,04959;78;1573
M;1998;79;0,04956;59;1191
M;2007;81;0,04932;80;1622
M;2007;80;0,04921;94;1910
M;2004;80;0,04911;79;1609
M;1999;79;0,04868;73;1500
M;1999;80;0,04733;54;1141
M;2001;79;0,04701;74;1574
M;2001;81;0,04675;64;1369
M;2000;80;0,04612;66;1431
M;2005;78;0,04554;94;2064
M;2004;79;0,04417;80;1811
M;2005;79;0,04323;76;1758
M;2002;80;0,04300;65;1512
M;2002;81;0,04293;48;1118
M;2001;78;0,04277;67;1567
M;1997;77;0,04242;68;1603
M;2000;78;0,04206;69;1641
M;2002;76;0,04062;77;1896
M;1998;78;0,04000;62;1550
M;2002;78;0,04000;70;1750
M;1997;78;0,03963;49;1237
M;2003;78;0,03953;74;1872
M;2000;77;0,03919;64;1633
M;2006;80;0,03910;66;1688
M;2007;79;0,03844;85;2212
M;2000;79;0,03841;47;1224
M;2006;79;0,03833;76;1983
M;2004;78;0,03796;69;1818
M;2000;76;0,03774;70;1855
M;1999;78;0,03774;48;1272
M;2002;77;0,03707;71;1916
M;2006;78;0,03700;85;2298
M;1999;76;0,03565;60;1683
M;1999;77;0,03538;60;1696
M;2001;77;0,03503;63;1799
M;2002;79;0,03488;53;1520
M;1997;76;0,03451;46;1333
M;2003;74;0,03426;92;2685
M;2003;75;0,03395;84;2474
M;2007;76;0,03395;91;2681
M;1999;74;0,03372;69;2047
M;2007;78;0,03347;83;2480
M;1998;72;0,03332;68;2041
M;1998;76;0,03288;57;1734
M;2003;77;0,03282;61;1859
M;2003;76;0,03280;71;2165
M;2007;77;0,03274;94;2871
M;2000;74;0,03266;65;1991
M;2006;75;0,03261;90;2760
M;2001;74;0,03258;73;2241
M;2004;77;0,03257;69;2119
M;1999;75;0,03253;62;1906
M;1997;75;0,03209;57;1777
M;2004;76;0,03165;76;2401
M;1997;74;0,03155;55;1744
M;1998;77;0,03150;41;1302
M;2000;75;0,03102;62;1999
M;2002;75;0,03092;68;2199
M;1999;73;0,03057;62;2028
M;2006;77;0,03023;77;2548
M;2006;76;0,03014;89;2953
M;2005;75;0,03009;91;3025
M;2004;73;0,02857;81;2836
M;2006;74;0,02837;94;3313
M;2001;75;0,02828;55;1945
M;1997;73;0,02823;55;1949
M;1998;73;0,02806;58;2067
M;2005;77;0,02761;65;2355
M;2007;75;0,02742;89;3246
M;1998;75;0,02684;46;1714
M;2005;76;0,02646;69;2608
M;2000;72;0,02578;66;2560
M;2003;73;0,02560;79;3086
M;2001;73;0,02532;64;2528
M;2000;73;0,02464;56;2273
M;2001;76;0,02448;48;1961
M;1997;71;0,02421;50;2065
M;1999;72;0,02386;55;2306
M;2001;70;0,02378;67;2818
M;1998;74;0,02336;45;1927
M;2002;74;0,02314;58;2506
M;2005;73;0,02293;77;3358
M;2004;74;0,02288;70;3059
M;1997;70;0,02265;52;2296
M;2000;71;0,02247;61;2715
M;1997;72;0,02243;47;2096
M;2007;72;0,02238;97;4335
M;2005;74;0,02213;62;2802
M;2003;72;0,02209;63;2852
M;2002;71;0,02198;62;2821
M;2003;71;0,02189;74;3380
M;2004;75;0,02158;57;2642
M;1998;69;0,02156;58;2690
M;2003;70;0,02153;78;3623
M;2006;73;0,02108;76;3606
M;2007;74;0,02105;75;3564
M;2002;70;0,02087;70;3354
M;2001;72;0,02065;56;2712
M;1998;71;0,02047;47;2296
M;2001;66;0,02045;82;4010
M;2000;70;0,02042;63;3085
M;2002;72;0,02039;63;3090
M;2004;72;0,02023;68;3361
M;1999;70;0,02017;55;2728
M;2001;71;0,02006;62;3090
M;1999;71;0,01973;51;2585
M;2002;73;0,01957;53;2709
M;2005;71;0,01956;77;3938
M;2007;73;0,01945;76;3907
M;1999;69;0,01935;60;3101
M;2005;72;0,01923;70;3641
M;2006;71;0,01902;83;4365
M;1998;70;0,01874;48;2562
M;2004;71;0,01847;67;3628
M;1997;69;0,01793;46;2565
M;2000;68;0,01771;59;3332
M;2007;71;0,01726;81;4693
M;2001;69;0,01707;57;3339
M;2004;70;0,01704;67;3933
M;2005;70;0,01684;74;4394
M;2005;69;0,01684;79;4693
M;2005;68;0,01681;81;4819
M;2007;70;0,01670;81;4851
M;1997;68;0,01654;44;2661
M;1998;68;0,01648;50;3034
M;1998;67;0,01571;43;2737
M;2000;69;0,01561;44;2819
M;2006;70;0,01558;73;4686
M;2007;68;0,01502;86;5726
M;2006;72;0,01500;59;3933
M;2002;69;0,01485;53;3570
M;2004;69;0,01455;63;4331
M;2003;69;0,01440;56;3888
M;2001;68;0,01422;50;3517
M;2002;68;0,01421;54;3800
M;1999;65;0,01420;52;3662
M;2001;67;0,01412;53;3753
M;1997;66;0,01408;38;2698
M;1999;66;0,01379;47;3408
M;2007;69;0,01374;74;5385
M;2004;66;0,01363;71;5209
M;1997;64;0,01350;43;3186
M;2003;67;0,01348;61;4527
M;2006;66;0,01327;83;6253
M;1999;68;0,01317;37;2809
M;2000;66;0,01317;49;3720
M;2005;67;0,01316;70;5319
M;2002;66;0,01305;57;4367
M;2000;65;0,01292;51;3947
M;2004;64;0,01289;77;5973
M;2006;68;0,01274;68;5338
M;1998;66;0,01227;39;3180
M;2006;69;0,01219;59;4840
M;2006;67;0,01217;69;5672
M;2004;68;0,01210;56;4628
M;2003;68;0,01196;51;4265
M;2002;67;0,01193;49;4109
M;1998;65;0,01191;39;3274
M;1999;67;0,01183;39;3297
M;1998;64;0,01174;41;3492
M;2005;65;0,01170;72;6156
M;2000;64;0,01158;48;4145
M;2004;67;0,01144;54;4721
M;1997;67;0,01134;34;2997
M;2003;65;0,01123;57;5077
M;2007;66;0,01102;72;6535
M;1997;62;0,01101;38;3452
M;2001;65;0,01080;46;4259
M;1999;64;0,01066;41;3845
M;1997;65;0,01063;33;3105
M;2005;63;0,01063;78;7338
M;2003;66;0,01060;49;4623
M;2001;63;0,01058;49;4631
M;2002;65;0,01058;47;4443
M;2007;67;0,01054;67;6359
M;2004;62;0,01051;74;7038
M;2006;65;0,01029;66;6414
M;2007;63;0,01025;89;8682
M;2002;63;0,00995;49;4924
M;2007;64;0,00990;82;8282
M;2006;64;0,00984;74;7523
M;2000;67;0,00979;34;3472
M;2005;64;0,00971;61;6285
M;2004;63;0,00962;58;6032
M;2001;64;0,00952;41;4305
M;1997;63;0,00946;32;3382
M;2004;65;0,00939;51;5432
M;2006;63;0,00936;75;8013
M;2005;66;0,00911;51;5599
M;1998;61;0,00886;33;3727
M;1998;63;0,00885;32;3615
M;2007;65;0,00883;68;7705
M;1997;60;0,00882;31;3514
M;2003;62;0,00868;50;5762
M;2000;62;0,00855;38;4446
M;2005;62;0,00851;66;7759
M;1998;60;0,00827;32;3869
M;1998;62;0,00824;31;3761
M;2000;63;0,00819;34;4151
M;2002;64;0,00809;39;4820
M;2001;62;0,00809;38;4700
M;2003;63;0,00799;46;5757
M;1999;62;0,00797;32;4015
M;2001;60;0,00797;40;5020
M;2003;59;0,00794;57;7176
M;1999;63;0,00769;31;4032
M;1997;59;0,00767;28;3651
M;2007;62;0,00765;72;9408
M;2003;64;0,00765;40;5231
M;1997;61;0,00756;27;3571
M;2006;62;0,00754;63;8356
M;2004;46;0,00746;4;536
M;2002;61;0,00735;39;5307
M;2003;61;0,00732;49;6693
M;2002;62;0,00726;39;5374
M;2007;45;0,00722;1;139
M;2007;61;0,00712;69;9691
M;1999;60;0,00709;30;4233
M;1998;57;0,00699;28;4005
M;2000;58;0,00699;38;5440
M;2005;61;0,00696;56;8046
M;2000;61;0,00695;31;4464
M;2007;59;0,00653;67;10254
M;1998;58;0,00647;27;4175
M;2005;60;0,00636;55;8644
